shipper,shippers_reference,vessel_aircraft,voyage_no,place_of_receipt,port_of_loading,port_of_discharge,place_of_delivery,final_destination,ping_seq,ping_time,t_hours,latitude,longitude,speed_knots,heading
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",5,2026-08-02 18:53,42.9,47.2305,-6.8236,17.7,212.8
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",6,2026-08-03 01:04,49.08,45.6935,-8.03,18.0,205.8
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",7,2026-08-03 07:15,55.26,44.1077,-9.0721,16.1,205.8
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",8,2026-08-03 13:26,61.44,42.4725,-9.8,16.5,180.0
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",9,2026-08-03 19:37,67.62,40.7227,-9.8,16.8,180.0
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",10,2026-08-04 01:47,73.8,38.9729,-9.8,17.2,180.0
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",11,2026-08-04 07:58,79.98,37.7,-8.5478,17.5,127.7
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",12,2026-08-04 14:09,86.16,36.6036,-6.8318,17.9,127.7
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",13,2026-08-04 20:20,92.34,36.0672,-4.9189,16.0,76.1
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",14,2026-08-05 02:31,98.52,36.4336,-2.7907,16.3,76.1
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",15,2026-08-05 08:41,104.7,36.7999,-0.6624,16.7,76.1
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",16,2026-08-05 14:52,110.88,37.0795,1.4935,17.0,82.0
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",17,2026-08-05 21:03,117.06,37.2546,3.6828,17.3,82.0
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",18,2026-08-06 03:14,123.24,37.4298,5.872,17.7,82.0
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",19,2026-08-06 09:25,129.42,37.5829,8.0571,18.0,108.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",20,2026-08-06 15:35,135.6,36.9705,10.0983,16.1,108.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",21,2026-08-06 21:46,141.78,36.3582,12.1395,16.5,108.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",22,2026-08-07 03:57,147.96,35.7458,14.1806,16.8,108.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",23,2026-08-07 10:08,154.14,35.2034,16.2214,17.2,104.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",24,2026-08-07 16:19,160.32,34.7078,18.262,17.5,104.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",25,2026-08-07 22:29,166.5,34.2122,20.3025,17.9,104.4
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",26,2026-08-08 04:40,172.68,33.7226,22.3385,16.0,103.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",27,2026-08-08 10:51,178.86,33.2624,24.352,16.3,103.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",28,2026-08-08 17:02,185.04,32.8022,26.3654,16.7,103.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",29,2026-08-08 23:13,191.22,32.342,28.3789,17.0,103.3
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",30,2026-08-09 05:23,197.4,31.8157,30.3491,17.3,107.6
Delta Machinery BV,DM-2026-3391,ATLANTIC TRADER,AT-1210,"Eindhoven Plant, NL","Rotterdam, NL","Port Said, EG",10th of Ramadan City,"Cairo, Egypt",31,2026-08-09 11:34,203.58,31.26,32.3,2.4,107.6
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",0,2026-08-01 04:00,4.0,-24.0,-46.32,3.2,76.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",1,2026-08-01 11:43,11.72,-23.5595,-44.4169,13.4,76.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",2,2026-08-01 19:26,19.44,-23.1189,-42.5138,13.7,76.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",3,2026-08-02 03:09,27.16,-22.4621,-40.7091,14.0,67.0
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",4,2026-08-02 10:52,34.88,-21.7253,-38.9407,14.3,67.0
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",5,2026-08-02 18:35,42.6,-20.9885,-37.1724,14.6,67.0
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",6,2026-08-03 02:18,50.31,-20.1908,-35.4503,14.8,60.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",7,2026-08-03 10:01,58.03,-19.2732,-33.8191,13.3,60.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",8,2026-08-03 17:45,65.75,-18.3557,-32.1879,13.6,60.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",9,2026-08-04 01:28,73.47,-17.4382,-30.5568,13.9,60.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",10,2026-08-04 09:11,81.19,-16.5207,-28.9256,14.1,60.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",11,2026-08-04 16:54,88.91,-15.525,-27.3666,14.4,53.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",12,2026-08-05 00:37,96.63,-14.4267,-25.9023,14.7,53.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",13,2026-08-05 08:20,104.35,-13.3285,-24.4379,13.2,53.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",14,2026-08-05 16:03,112.07,-12.2302,-22.9736,13.4,53.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",15,2026-08-05 23:47,119.79,-11.1319,-21.5093,13.7,53.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",16,2026-08-06 07:30,127.5,-10.0337,-20.0449,14.0,53.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",17,2026-08-06 15:13,135.22,-9.0694,-18.511,14.3,58.3
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",18,2026-08-06 22:56,142.94,-8.1093,-16.9749,14.6,58.3
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",19,2026-08-07 06:39,150.66,-7.1492,-15.4388,14.8,58.3
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",20,2026-08-07 14:22,158.38,-6.1891,-13.9026,13.3,58.3
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",21,2026-08-07 22:05,166.1,-5.2291,-12.3665,13.6,58.3
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",22,2026-08-08 05:49,173.82,-4.3193,-10.8087,13.9,60.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",23,2026-08-08 13:32,181.54,-3.4252,-9.2441,14.1,60.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",24,2026-08-08 21:15,189.26,-2.5311,-7.6795,14.4,60.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",25,2026-08-09 04:58,196.98,-1.6371,-6.1149,14.7,60.4
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",26,2026-08-09 12:41,204.69,-0.6342,-4.6342,13.2,45.0
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",27,2026-08-09 20:24,212.41,0.6387,-3.3613,13.4,45.0
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",28,2026-08-10 04:07,220.13,1.9116,-2.0884,13.7,45.0
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",29,2026-08-10 11:51,227.85,3.2646,-0.9053,14.0,37.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",30,2026-08-10 19:34,235.57,4.6867,0.2007,14.3,37.7
Tramonte Veiculos Ltda,TV/BR/26/7742,SOUTH CROSS,SC-1054,"Sao Paulo Vehicle Yard, BR","Santos, BR","Lome, TG",Lome Vehicle Park,"Ouagadougou, Burkina Faso",31,2026-08-11 03:17,243.29,6.13,1.28,2.4,36.0
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",0,2026-08-01 18:00,18.0,25.12,56.36,3.2,113.8
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",1,2026-08-01 21:45,21.77,24.8488,57.0203,10.1,113.8
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",2,2026-08-02 01:31,25.53,24.5776,57.6807,10.3,113.8
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",3,2026-08-02 05:17,29.3,24.3064,58.341,10.5,113.8
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",4,2026-08-02 09:03,33.06,23.8908,58.8766,10.7,140.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",5,2026-08-02 12:49,36.83,23.3821,59.3318,10.9,140.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",6,2026-08-02 16:35,40.59,22.8734,59.787,11.1,140.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",7,2026-08-02 20:21,44.36,22.3647,60.2422,10.0,140.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",8,2026-08-03 00:07,48.12,21.7371,60.1749,10.2,191.8
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",9,2026-08-03 03:53,51.89,21.0922,60.0316,10.4,191.8
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",10,2026-08-03 07:39,55.66,20.4618,59.8599,10.6,225.1
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",11,2026-08-03 11:25,59.42,19.9937,59.3684,10.8,225.1
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",12,2026-08-03 15:11,63.19,19.5257,58.8769,11.0,225.1
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",13,2026-08-03 18:57,66.95,19.0576,58.3855,9.9,225.1
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",14,2026-08-03 22:43,70.72,18.5895,57.894,10.1,225.1
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",15,2026-08-04 02:29,74.48,18.207,57.3339,10.3,237.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",16,2026-08-04 06:14,78.25,17.8447,56.7575,10.5,237.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",17,2026-08-04 10:00,82.01,17.4825,56.1812,10.7,237.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",18,2026-08-04 13:46,85.78,17.1202,55.6048,10.9,237.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",19,2026-08-04 17:32,89.55,16.7579,55.0285,11.1,237.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",20,2026-08-04 21:18,93.31,16.3956,54.4521,10.0,237.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",21,2026-08-05 01:04,97.08,15.9512,53.9512,10.2,224.3
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",22,2026-08-05 04:50,100.84,15.4774,53.4774,10.4,224.3
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",23,2026-08-05 08:36,104.61,15.0036,53.0036,10.6,224.3
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",24,2026-08-05 12:22,108.37,14.5297,52.5297,10.8,224.3
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",25,2026-08-05 16:08,112.14,14.0559,52.0559,11.0,224.3
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",26,2026-08-05 19:54,115.91,13.6116,51.5562,9.9,228.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",27,2026-08-05 23:40,119.67,13.1713,51.053,10.1,228.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",28,2026-08-06 03:26,123.44,12.731,50.5498,10.3,228.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",29,2026-08-06 07:12,127.2,12.2569,50.0829,10.5,222.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",30,2026-08-06 10:58,130.97,11.7685,49.6315,10.7,222.2
Pearl Coastal Trading LLC,PCT-26-0453,DESERT PEARL,DP-1122,"Sharjah Warehouse 7, AE","Fujairah, AE","Bosaso, SO",Bosaso Market Depot,"Garowe, Somalia",31,2026-08-06 14:43,134.73,11.28,49.18,2.4,222.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",0,2026-08-01 09:00,9.0,51.3,3.2,3.2,259.3
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",1,2026-08-01 15:04,15.08,50.7102,0.5014,17.3,242.0
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",2,2026-08-01 21:09,21.15,49.9146,-2.0488,17.6,258.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",3,2026-08-02 03:13,27.23,49.489,-4.7851,18.0,258.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",4,2026-08-02 09:18,33.31,49.0986,-7.5105,18.4,260.8
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",5,2026-08-02 15:22,39.38,48.7364,-10.2272,18.7,260.8
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",6,2026-08-02 21:27,45.46,48.3202,-12.8991,19.1,257.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",7,2026-08-03 03:32,51.54,47.8026,-15.4869,17.1,257.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",8,2026-08-03 09:36,57.61,47.2851,-18.0747,17.5,257.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",9,2026-08-03 15:41,63.69,46.7675,-20.6625,17.8,257.2
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",10,2026-08-03 21:45,69.77,46.2293,-23.1909,18.2,256.1
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",11,2026-08-04 03:50,75.84,45.6691,-25.6559,18.5,256.1
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",12,2026-08-04 09:55,81.92,45.1089,-28.1208,18.9,256.1
Nordic Pharma Logistics A/S,NPL-2026-1188,NORDIC BRIDGE,NB-1233,"Copenhagen Cold Store, DK","Antwerp, BE","New York, US",Edison NJ Distribution Center,"Newark, United States",13,2026-08-04 15:59,88.0,44.5487,-30.5858,16.9,256.1
